Simplified,Translation,Traditional,Pinyin
朋友助我度过了难关。,Bạn ấy giúp tôi vượt qua khó khăn.,朋友助我度過了難關。,péngyǒu zhù wǒ dùguò le nánguān 。
他助我找到了工作。,Anh ấy giúp tôi tìm được công việc.,他助我找到了工作。,tāzhù wǒ zhǎodào le gōngzuò 。
他助我学到了新的技能。,Anh ấy giúp tôi học được kỹ năng mới.,他助我學到了新的技能。,tāzhù wǒ xuédào le xīn de jìnéng 。
他助我实现了梦想。,Anh ấy giúp tôi thực hiện được giấc mơ.,他助我實現了夢想。,tāzhù wǒ shíxiàn le mèngxiǎng 。
他助我克服了恐惧。,Anh ấy giúp tôi vượt qua nỗi sợ.,他助我克服了恐懼。,tāzhù wǒ kèfú le kǒngjù 。
他助我获得了成功。,Anh ấy giúp tôi đạt được thành công.,他助我獲得了成功。,tāzhù wǒ huòdé le chénggōng 。
她助我调整了心态。,Cô ấy giúp tôi điều chỉnh trạng thái tâm lý.,她助我調整了心態。,tāzhù wǒ tiáozhěng le xīntài 。
她助我找到了丢失的钥匙。,Cô ấy giúp tôi tìm lại chiếc chìa khóa mất.,她助我找到了丟失的鑰匙。,tāzhù wǒ zhǎodào le diūshī de yàoshi 。
他助我解决了这个问题。,Anh ấy giúp tôi giải quyết vấn đề này.,他助我解決了這個問題。,tāzhù wǒ jiějué le zhège wèntí 。
他助我规划了未来。,Anh ấy giúp tôi lên kế hoạch cho tương lai.,他助我規劃了未來。,tāzhù wǒ guīhuà le wèilái 。
他助我度过了孤独的时光。,Anh ấy giúp tôi vượt qua những lúc cô đơn.,他助我度過了孤獨的時光。,tāzhù wǒ dùguò le gūdú de shíguāng 。
他助我找到了归属感。,Anh ấy giúp tôi tìm thấy sự thuộc về.,他助我找到了歸屬感。,tāzhù wǒ zhǎodào le guīshǔgǎn 。
他助我改善了人际关系。,Anh ấy giúp tôi cải thiện mối quan hệ xã hội.,他助我改善了人際關係。,tāzhù wǒ gǎishàn le rénjìguānxì 。
他助我克服了困难。,Anh ấy giúp tôi vượt qua khó khăn.,他助我克服了困難。,tāzhù wǒ kèfú le kùnnán 。
他助我实现了目标。,Anh ấy giúp tôi đạt được mục tiêu.,他助我實現了目標。,tāzhù wǒ shíxiàn le mùbiāo 。
他助我增强了自信。,Anh ấy giúp tôi tăng cường sự tự tin.,他助我增強了自信。,tāzhù wǒ zēngqiáng le zìxìn 。
他逃过了这一劫。,Anh ấy đã thoát khỏi tai họa này.,他逃過了這一劫。,tā táoguò le zhè yījié 。
他经历了一次生死劫。,Anh ấy đã trải qua một cuộc sống và chết.,他經歷了一次生死劫。,tā jīnglì le yīcì shēngsǐjié 。
他逃过了这一劫难。,Anh ấy đã thoát khỏi tai họa này.,他逃過了這一劫難。,tā táoguò le zhè yī jiénàn 。
他度过了许多次生死劫。,Anh ấy đã trải qua nhiều cuộc sống và chết.,他度過了許多次生死劫。,tā dùguò le xǔduōcì shēngsǐjié 。
他受到了鼓励，决定继续前进。,"Anh ấy được khích lệ, quyết định tiếp tục tiến lên.",他受到了鼓勵，決定繼續前進。,tā shòudào le gǔlì ， juédìng jìxùqiánjìn 。
她用勇气激励了很多人。,Cô ấy đã khích lệ rất nhiều người bằng lòng dũng cảm.,她用勇氣激勵了很多人。,tā yòng yǒngqì jīlì le hěnduō rén 。
他的话激励了我，让我更有信心。,"Những lời của anh ấy đã khích lệ tôi, làm tôi có thêm niềm tin.",他的話激勵了我，讓我更有信心。,tā dehuà jīlì le wǒ ， ràng wǒ gèng yǒu xìnxīn 。
他用行动激励了我们所有人。,Anh ấy đã khích lệ tất cả chúng tôi bằng hành động.,他用行動激勵了我們所有人。,tā yòng xíngdòng jīlì le wǒmen suǒyǒurén 。
他的话激励我勇敢面对困难。,Những lời của anh ấy đã khích lệ tôi dũng cảm đối mặt với khó khăn.,他的話激勵我勇敢面對困難。,tā dehuà jīlì wǒ yǒnggǎn miànduì kùnnán 。
他的话语激励着每一个人。,Những lời nói của anh ấy đã khích lệ mỗi người.,他的話語激勵着每一個人。,tā de huàyǔ jīlì zhe měi yígè rén 。
他用实际行动激励了大家。,Anh ấy đã khích lệ mọi người bằng hành động thực tế.,他用實際行動激勵了大家。,tā yòng shíjìxíngdòng jīlì le dàjiā 。
她用笑容激励了所有的人。,Cô ấy đã khích lệ mọi người bằng nụ cười.,她用笑容激勵了所有的人。,tā yòng xiàoróng jīlì le suǒyǒu de rén 。
他的成功激励了我。,Thành công của anh ấy đã khích lệ tôi.,他的成功激勵了我。,tā de chénggōng jīlì le wǒ 。
她用成绩激励了大家。,Cô ấy đã khích lệ mọi người bằng kết quả học tập.,她用成績激勵了大家。,tā yòng chéngjì jīlì le dàjiā 。
他的话激励了我，让我更有动力。,"Những lời của anh ấy đã khích lệ tôi, làm tôi có thêm động lực.",他的話激勵了我，讓我更有動力。,tā dehuà jīlì le wǒ ， ràng wǒ gèng yǒu dònglì 。
她用坚韧激励了所有人。,Cô ấy đã khích lệ mọi người bằng sự kiên cường.,她用堅韌激勵了所有人。,tā yòng jiānrèn jīlì le suǒyǒurén 。
他的话激励我勇敢地面对未来。,Những lời của anh ấy đã khích lệ tôi dũng cảm đối mặt với tương lai.,他的話激勵我勇敢地面對未來。,tā dehuà jīlì wǒ yǒnggǎn dìmiàn duì wèilái 。
她跳得特别有劲。,Cô ấy nhảy rất sôi động.,她跳得特別有勁。,tā tiào dé tèbié yǒujìn 。
这工作需要很大的干劲。,Việc này cần có sức mạnh tinh thần lớn.,這工作需要很大的幹勁。,zhè gōngzuò xūyào hěndà de gànjìn 。
比赛场上，他展现出了强劲的实力。,"Trên sân thi đấu, anh ta đã thể hiện sức mạnh xuất sắc.",比賽場上，他展現出了強勁的實力。,bǐsài chǎngshàng ， tā zhǎnxiànchū le qiángjìng de shílì 。
他说话的时候很有劲。,Anh ta nói chuyện rất có sức mạnh.,他說話的時候很有勁。,tā shuōhuà de shíhòu hěn yǒujìn 。
这任务需要很大的勇气和干劲。,Công việc này cần có sức dũng cảm và sức mạnh tinh thần lớn.,這任務需要很大的勇氣和幹勁。,zhè rènwù xūyào hěndà de yǒngqì hé gànjìn 。
他跑得很快，很有劲。,"Anh ta chạy rất nhanh, rất sôi động.",他跑得很快，很有勁。,tā pǎo dé hěnkuài ， hěn yǒujìn 。
她喜欢跳舞，很有劲。,"Cô ấy thích múa, rất sôi động.",她喜歡跳舞，很有勁。,tā xǐhuān tiàowǔ ， hěn yǒujìn 。
他做运动的时候很有劲。,Anh ta tập thể thao rất sôi động.,他做運動的時候很有勁。,tā zuò yùndòng de shíhòu hěn yǒujìn 。
他工作起来很有劲。,Anh ta làm việc rất có sức mạnh.,他工作起來很有勁。,tā gōngzuò qǐlái hěn yǒujìn 。
这电影非常有劲。,Bộ phim này rất sôi động.,這電影非常有勁。,zhè diànyǐng fēicháng yǒujìn 。
他唱歌的时候很有劲。,Anh ta hát rất có sức mạnh.,他唱歌的時候很有勁。,tā chànggē de shíhòu hěn yǒujìn 。
他学习的时候很有劲。,Anh ta học rất có sức mạnh.,他學習的時候很有勁。,tā xuéxí de shíhòu hěn yǒujìn 。
他画画的时候很有劲。,Anh ta vẽ rất có sức mạnh.,他畫畫的時候很有勁。,tā huàhuà de shíhòu hěn yǒujìn 。
这比赛非常有劲。,Cuộc thi này rất sôi động.,這比賽非常有勁。,zhè bǐsài fēicháng yǒujìn 。
他游泳的时候很有劲。,Anh ta bơi rất sôi động.,他游泳的時候很有勁。,tā yóuyǒng de shíhòu hěn yǒujìn 。
他写字的时候很有劲。,Anh ta viết rất có sức mạnh.,他寫字的時候很有勁。,tā xiězì de shíhòu hěn yǒujìn 。
劳教所的老师们非常敬业。,Các thầy cô giáo ở trại giáo dưỡng đều rất tận tâm.,勞教所的老師們非常敬業。,láojiàosuǒ de lǎoshī men fēicháng jìngyè 。
他劳累了好久，终于完成了任务。,"Anh ấy đã làm việc vất vả lâu rồi, cuối cùng đã hoàn thành nhiệm vụ.",他勞累了好久，終於完成了任務。,tā láolèi le hǎojiǔ ， zhōngyú wánchéng le rènwù 。
她为慈善机构募捐非常劳力。,Cô ấy đã rất nỗ lực để quyên góp cho tổ chức từ thiện.,她爲慈善機構募捐非常勞力。,tā wèi císhànjīgòu mùjuān fēicháng láolì 。
他每天劳作，身体很健康。,"Anh ấy làm việc vất vả hàng ngày, nên sức khỏe rất tốt.",他每天勞作，身體很健康。,tā měitiān láozuò ， shēntǐ hěn jiànkāng 。
这家公司的员工都很勤劳。,Các nhân viên của công ty này đều rất chăm chỉ.,這家公司的員工都很勤勞。,zhèjiā gōngsī de yuángōng dōu hěn qínláo 。
他劳心劳力，终于完成了项目。,"Anh ấy đã làm việc chăm chỉ và vất vả, cuối cùng đã hoàn thành dự án.",他勞心勞力，終於完成了項目。,tā láoxīn láolì ， zhōngyú wánchéng le xiàngmù 。
请务必劳烦您帮我一下。,Anh/chị có thể giúp tôi một tay không?,請務必勞煩您幫我一下。,qǐng wùbì láofán nín bāng wǒ yīxià 。
他每天都要劳作很长时间。,Mỗi ngày anh ấy đều phải làm việc vất vả rất lâu.,他每天都要勞作很長時間。,tā měitiān dōu yào láozuò hěn zhǎngshíjiān 。
他劳苦一生，终于获得了成功。,Anh ấy đã làm việc vất vả suốt đời và cuối cùng đã đạt được thành công.,他勞苦一生，終於獲得了成功。,tā láokǔ yīshēng ， zhōngyú huòdé le chénggōng 。
他为这次活动付出了很多劳力。,Anh ấy đã rất nỗ lực cho sự kiện này.,他爲這次活動付出了很多勞力。,tā wèi zhècì huódòng fùchū le hěnduō láolì 。
这个工作他劳心劳力。,Việc này anh ấy đã làm việc chăm chỉ và vất vả.,這個工作他勞心勞力。,zhège gōngzuò tā láoxīn láolì 。
这个任务他劳心劳力地完成了。,Anh ấy đã hoàn thành nhiệm vụ này bằng sự cố gắng và nỗ lực.,這個任務他勞心勞力地完成了。,zhège rènwù tā láoxīn láolì dì wánchéng le 。
他为了这个项目劳心劳力。,Anh ấy đã làm việc chăm chỉ và vất vả cho dự án này.,他爲了這個項目勞心勞力。,tā wèile zhège xiàngmù láoxīn láolì 。
劳保用品发放给每个工人。,Quần áo bảo hộ lao động được phát cho mỗi công nhân.,勞保用品發放給每個工人。,láobǎoyòngpǐn fāfàng gěi měigè gōngrén 。
他劳心劳力，终于实现了目标。,"Anh ấy đã làm việc chăm chỉ và vất vả, cuối cùng đã đạt được mục tiêu.",他勞心勞力，終於實現了目標。,tā láoxīn láolì ， zhōngyú shíxiàn le mùbiāo 。
他劳心劳力，终于完成了任务。,"Anh ấy đã làm việc chăm chỉ và vất vả, cuối cùng đã hoàn thành nhiệm vụ。",他勞心勞力，終於完成了任務。,tā láoxīn láolì ， zhōngyú wánchéng le rènwù 。
他的演讲很有气势。,Bài phát biểu của anh ấy rất đầy sức mạnh.,他的演講很有氣勢。,tā de yǎnjiǎng hěn yǒu qìshì 。
市场形势对公司发展有利。,Đánh giá xu thế thị trường có lợi cho sự phát triển của công ty.,市場形勢對公司發展有利。,shìchǎng xíngshì duì gōngsī fāzhǎn yǒulì 。
比赛刚刚开始，我们处于有利势。,"Vòng đấu vừa bắt đầu, chúng tôi đang nắm lợi thế.",比賽剛剛開始，我們處於有利勢。,bǐsài gānggāngkāishǐ ， wǒmen chǔyú yǒulì shì 。
政府政策对经济有积极势。,Chính sách của chính phủ có tác động tích cực đến nền kinh tế.,政府政策對經濟有積極勢。,zhèngfǔ zhèngcè duì jīngjì yǒu jījí shì 。
股市目前处于上升势。,Thị trường chứng khoán hiện đang tăng giá.,股市目前處於上升勢。,gǔshì mùqián chǔyú shàngshēng shì 。
这场战斗他占据了优势。,"Trận chiến này, anh ấy đã chiếm lợi thế.",這場戰鬥他佔據了優勢。,zhèchǎng zhàndòu tā zhànjù le yōushì 。
这次考试他的答题势头很好。,"Trong bài thi này, phong độ làm bài của anh ấy rất tốt.",這次考試他的答題勢頭很好。,zhècì kǎoshì tā de dátí shìtou hěn hǎo 。
这场比赛的局势对我们有利。,Trạng thái của trận đấu đang có lợi cho chúng tôi.,這場比賽的局勢對我們有利。,zhèchǎng bǐsài de júshì duì wǒmen yǒulì 。
他的演讲很有气势，赢得了观众的掌声。,Bài phát biểu của anh ấy đầy sức mạnh và đã nhận được tràng pháo tay từ khán giả.,他的演講很有氣勢，贏得了觀衆的掌聲。,tā de yǎnjiǎng hěn yǒu qìshì ， yíngdé le guānzhòng de zhǎngshēng 。
这次比赛的形势对我们很不利。,Trạng thái của trận đấu đang rất bất lợi cho chúng tôi.,這次比賽的形勢對我們很不利。,zhècì bǐsài de xíngshì duì wǒmen hěn bùlì 。
他的公司目前处于扩张势。,Công ty của anh ấy hiện đang mở rộng quy mô.,他的公司目前處於擴張勢。,tā de gōngsī mùqián chǔyú kuòzhāng shì 。
他在谈判中占据优势。,Anh ấy đang nắm lợi thế trong cuộc thương lượng.,他在談判中佔據優勢。,tā zài tánpàn zhōng zhànjù yōushì 。
他勉力完成了任务。,Anh ta đã cố gắng hoàn thành nhiệm vụ.,他勉力完成了任務。,tā miǎnlì wánchéng le rènwù 。
妈妈勉励我好好学习。,Mẹ động viên con học tập tốt.,媽媽勉勵我好好學習。,māmā miǎnlì wǒ hǎohǎoxuéxí 。
他勉为其难地接受了这份工作。,Anh ta đã nhận công việc đó với sự miễn cưỡng.,他勉爲其難地接受了這份工作。,tā miǎnwéiqínán dì jiēshòu le zhèfèn gōngzuò 。
我们尽量勉勉强强地解决了这个问题。,Chúng tôi đã cố gắng giải quyết vấn đề đó với sự miễn cưỡng.,我們儘量勉勉強強地解決了這個問題。,wǒmen jǐnliàng miǎnmiǎnqiǎngqiáng dì jiějué le zhège wèntí 。
他勉励自己要更加努力。,Anh ta động viên bản thân cần phải nỗ lực hơn.,他勉勵自己要更加努力。,tā miǎnlì zìjǐ yào gèngjiā nǔlì 。
老师勉励我们要积极思考。,Cô giáo khen chúng ta cần suy nghĩ tích cực hơn.,老師勉勵我們要積極思考。,lǎoshī miǎnlì wǒmen yào jījísīkǎo 。
他勉力支撑着疲惫的身体。,Anh ta cố gắng duy trì thân thể mệt mỏi.,他勉力支撐着疲憊的身體。,tā miǎnlì zhīchēng zhe píbèi de shēntǐ 。
她勉励自己不要放弃。,Cô ấy động viên bản thân đừng buông xuôi.,她勉勵自己不要放棄。,tā miǎnlì zìjǐ búyào fàngqì 。
我们尽量勉力完成这次任务。,Chúng tôi cố gắng hoàn thành nhiệm vụ này.,我們儘量勉力完成這次任務。,wǒmen jǐnliàng miǎnlì wánchéng zhècì rènwù 。
他勉力维持着微笑。,Anh ta cố gắng duy trì nụ cười.,他勉力維持着微笑。,tā miǎnlì wéichí zhe wēixiào 。
她勉励自己要更加自信。,Cô ấy động viên bản thân cần phải tự tin hơn.,她勉勵自己要更加自信。,tā miǎnlì zìjǐ yào gèngjiā zìxìn 。
他勉力回答了这个问题。,Anh ta cố gắng trả lời câu hỏi đó.,他勉力回答了這個問題。,tā miǎnlì huídá le zhège wèntí 。
我们尽量勉力应对这个挑战。,Chúng tôi cố gắng đối phó với thách thức này.,我們儘量勉力應對這個挑戰。,wǒmen jǐnliàng miǎnlì yìngduì zhège tiǎozhàn 。
他勉力保持冷静。,Anh ta cố gắng giữ bình tĩnh.,他勉力保持冷靜。,tā miǎnlì bǎochí lěngjìng 。
她勉励自己要更加勇敢。,Cô ấy động viên bản thân cần phải can đảm hơn.,她勉勵自己要更加勇敢。,tā miǎnlì zìjǐ yào gèngjiā yǒnggǎn 。
他勉力支撑着站立。,Anh ta cố gắng đứng thẳng.,他勉力支撐着站立。,tā miǎnlì zhīchēng zhe zhànlì 。
她勉励自己要更加坚韧。,Cô ấy động viên bản thân cần phải kiên cường hơn.,她勉勵自己要更加堅韌。,tā miǎnlì zìjǐ yào gèngjiā jiānrèn 。
他勉力保持微笑。,Anh ta cố gắng duy trì nụ cười.,他勉力保持微笑。,tā miǎnlì bǎochí wēixiào 。
我们尽量勉力应对这个困境。,Chúng tôi cố gắng đối phó với tình huống khó khăn này.,我們儘量勉力應對這個困境。,wǒmen jǐnliàng miǎnlì yìngduì zhège kùnjìng 。
他勉力控制自己的情绪。,Anh ta cố gắng kiểm soát cảm xúc của mình.,他勉力控制自己的情緒。,tā miǎnlì kòngzhì zìjǐ de qíngxù 。
她勉励自己要更加专注。,Cô ấy động viên bản thân cần phải tập trung hơn.,她勉勵自己要更加專注。,tā miǎnlì zìjǐ yào gèngjiā zhuānzhù 。
他荣获了国家勋章。,Anh ấy đã được trao huân chương quốc gia.,他榮獲了國家勳章。,tā rónghuò le guójiā xūnzhāng 。
他为了保护孩子们而英勇牺牲，荣获了英雄勋章。,Anh ấy đã hy sinh để bảo vệ các em nhỏ và được trao huân chương anh hùng.,他爲了保護孩子們而英勇犧牲，榮獲了英雄勳章。,tā wèile bǎohù háizi men ér yīngyǒng xīshēng ， rónghuò le yīngxióng xūnzhāng 。
他因为杰出贡献获得了社会服务勋章。,Anh ấy đã được trao huân chương dịch vụ xã hội vì những đóng góp xuất sắc.,他因爲傑出貢獻獲得了社會服務勳章。,tā yīnwèi jiéchūgòngxiàn huòdé le shèhuì fúwù xūnzhāng 。
他为了和平事业做出了巨大牺牲，荣获了和平勋章。,Anh ấy đã hy sinh lớn để cho sự nghiệp hòa bình và được trao huân chương hòa bình.,他爲了和平事業做出了巨大犧牲，榮獲了和平勳章。,tā wèile hépíng shìyè zuòchū le jùdà xīshēng ， rónghuò le hépíng xūnzhāng 。
他为环境保护做出了杰出贡献，荣获了环保勋章。,Anh ấy đã có những đóng góp xuất sắc cho công tác bảo vệ môi trường và được trao huân chương bảo vệ môi trường.,他爲環境保護做出了傑出貢獻，榮獲了環保勳章。,tā wèi huánjìngbǎohù zuòchū le jiéchūgòngxiàn ， rónghuò le huánbǎo xūnzhāng 。
他为慈善事业做出了巨大贡献，荣获了慈善勋章。,Anh ấy đã có những đóng góp lớn cho sự nghiệp từ thiện và được trao huân chương từ thiện.,他爲慈善事業做出了巨大貢獻，榮獲了慈善勳章。,tā wèi císhànshìyè zuòchū le jùdàgòngxiàn ， rónghuò le císhàn xūnzhāng 。
他为经济建设做出了巨大贡献，荣获了经济建设勋章。,Anh ấy đã có những đóng góp lớn cho công cuộc xây dựng kinh tế và được trao huân chương xây dựng kinh tế.,他爲經濟建設做出了巨大貢獻，榮獲了經濟建設勳章。,tā wèi jīngjì jiànshè zuòchū le jùdàgòngxiàn ， rónghuò le jīngjì jiànshè xūnzhāng 。
他在农业领域取得了显著成绩，荣获了农业勋章。,Anh ấy đã giành được thành tích đáng kể trong lĩnh vực nông nghiệp và được trao huân chương nông nghiệp.,他在農業領域取得了顯著成績，榮獲了農業勳章。,tā zài nóngyè lǐngyù qǔdé le xiǎnzhùchéngjì ， rónghuò le nóngyè xūnzhāng 。
勿要担心失败，勇敢尝试。,"Không cần lo lắng về thất bại, hãy dũng cảm thử nghiệm.",勿要擔心失敗，勇敢嘗試。,wùyào dānxīn shībài ， yǒnggǎn chángshì 。
勿把所有鸡蛋放在一个篮子里。,Không nên để tất cả trứng vào một cái giỏ.,勿把所有雞蛋放在一個籃子裏。,wù bǎ suǒyǒu jīdàn fàngzài yígè lánzi lǐ 。
勿在生气时做重要决定。,Không nên ra quyết định quan trọng khi đang tức giận.,勿在生氣時做重要決定。,wù zài shēngqì shí zuò zhòngyào juédìng 。
勿轻易相信陌生人。,Không nên dễ dàng tin người lạ.,勿輕易相信陌生人。,wù qīngyì xiāngxìn mòshēngrén 。
勿浪费时间在无关紧要的事情上。,Không nên lãng phí thời gian vào những việc không quan trọng.,勿浪費時間在無關緊要的事情上。,wù làngfèishíjiān zài wúguānjǐnyào de shìqíng shàng 。
勿嘲笑别人的困境。,Không nên châm chọc vào hoàn cảnh khó khăn của người khác.,勿嘲笑別人的困境。,wù cháoxiào biérén de kùnjìng 。
勿随便许下承诺。,Không nên hứa hẹn một cách tùy tiện.,勿隨便許下承諾。,wù suíbiàn xǔxià chéngnuò 。
勿在深夜外出。,Không nên ra ngoài vào ban đêm.,勿在深夜外出。,wù zài shēnyè wàichū 。
勿忽视身体的警告信号。,Không nên bỏ qua các dấu hiệu cảnh báo từ cơ thể.,勿忽視身體的警告信號。,wù hūshì shēntǐ de jǐnggào xìnhào 。
勿在游泳池边玩耍。,Không nên chơi đùa bên bờ bể bơi.,勿在游泳池邊玩耍。,wù zài yóuyǒngchí biān wánshuǎ 。
勿在没有信号的地方接电话。,Không nên nhận cuộc gọi khi không có tín hiệu.,勿在沒有信號的地方接電話。,wù zài méiyǒu xìnhào de dìfāng jiēdiànhuà 。
勿在驾驶时使用手机。,Không nên sử dụng điện thoại khi lái xe.,勿在駕駛時使用手機。,wù zài jiàshǐ shí shǐyòng shǒujī 。
勿在考试中作弊。,Không nên gian lận trong kỳ thi.,勿在考試中作弊。,wù zài kǎoshì zhōng zuòbì 。
勿在公共场所大声说话。,Không nên nói to trong nơi công cộng.,勿在公共場所大聲說話。,wù zài gōnggòngchǎngsuǒ dàshēng shuōhuà 。
勿在图书馆吃东西。,Không nên ăn uống ở thư viện.,勿在圖書館喫東西。,wù zài túshūguǎn chī dōngxī 。
勿在图书馆内大声喧哗。,Không nên nói to ở thư viện.,勿在圖書館內大聲喧譁。,wù zài túshūguǎn nèi dàshēng xuānhuá 。
勿在地铁上吃重口味的食物。,Không nên ăn đồ có mùi nặng trên xe metro.,勿在地鐵上喫重口味的食物。,wù zài dìtiě shàng chī zhòng kǒuwèi de shíwù 。
勿在紧急出口存放物品。,Không nên để đồ ở cửa thoát hiểm.,勿在緊急出口存放物品。,wù zài jǐnjí chūkǒu cúnfàng wùpǐn 。
勿在游泳时潜水太深。,Không nên lặn quá sâu khi bơi.,勿在游泳時潛水太深。,wù zài yóuyǒng shí qiánshuǐ tàishēn 。
勿在雨中行走。,Không nên đi trong mưa.,勿在雨中行走。,wù zài yǔ zhōng xíngzǒu 。
他匆忙地收拾好东西。,Anh ta đã gấp gáp thu dọn đồ đạc.,他匆忙地收拾好東西。,tā cōngmáng dì shōushí hǎo dōngxī 。
他匆忙赶去参加朋友的婚礼。,Anh ta vội vã đi dự hôn lễ của bạn mình.,他匆忙趕去參加朋友的婚禮。,tā cōngmáng gǎn qù cānjiā péngyǒu de hūnlǐ 。
我必须匆忙完成这项任务。,Tôi phải hoàn thành nhiệm vụ này gấp.,我必須匆忙完成這項任務。,wǒ bìxū cōngmáng wánchéng zhèxiàng rènwù 。
他匆忙地离开了房间。,Anh ta đã rời khỏi phòng một cách vội vã.,他匆忙地離開了房間。,tā cōngmáng dì líkāi le fángjiān 。
我们匆忙地准备了午餐。,Chúng tôi đã gấp gáp chuẩn bị bữa trưa.,我們匆忙地準備了午餐。,wǒmen cōngmáng dì zhǔnbèi le wǔcān 。
他匆忙中忘了带伞。,Anh ta đã vội vã quên mang theo dù.,他匆忙中忘了帶傘。,tā cōngmáng zhōng wàng le dài sǎn 。
她匆忙中答应了所有的邀请。,Cô ấy đã vội vàng đồng ý tất cả các lời mời.,她匆忙中答應了所有的邀請。,tā cōngmáng zhōng dāyìng le suǒyǒu de yāoqǐng 。
他匆忙地赶往机场。,Anh ta vội vã đi đến sân bay.,他匆忙地趕往機場。,tā cōngmáng dì gǎnwǎng jīchǎng 。
他们匆忙地结束了会议。,Họ đã gấp gáp kết thúc cuộc họp.,他們匆忙地結束了會議。,tāmen cōngmáng dì jiéshù le huìyì 。
她匆忙中忘记了时间。,Cô ấy đã quên mất thời gian vì vội vã.,她匆忙中忘記了時間。,tā cōngmáng zhōng wàngjì le shíjiān 。
他匆忙中没有注意到路上的坑。,Anh ta đã không chú ý đến hố trên đường vì vội vã.,他匆忙中沒有注意到路上的坑。,tā cōngmáng zhōng méiyǒu zhùyì dào lùshàng de kēng 。
他们匆忙中把事情搞砸了。,Họ đã làm hỏng mọi việc vì vội vã.,他們匆忙中把事情搞砸了。,tāmen cōngmáng zhōng bǎ shìqíng gǎozá le 。
他匆忙中没有好好检查。,Anh ta đã không kiểm tra kỹ vì vội vã.,他匆忙中沒有好好檢查。,tā cōngmáng zhōng méiyǒu hǎohǎo jiǎnchá 。
她匆忙中把钥匙忘在家里了。,Cô ấy đã quên chìa khóa ở nhà vì vội vã.,她匆忙中把鑰匙忘在家裏了。,tā cōngmáng zhōng bǎ yàoshi wàng zài jiālǐ le 。
他们匆忙中忘记了约定的时间。,Họ đã quên thời gian hẹn vì vội vã.,他們匆忙中忘記了約定的時間。,tāmen cōngmáng zhōng wàngjì le yuēdìng de shíjiān 。
她匆忙中没有来得及吃早餐。,Cô ấy không kịp ăn sáng vì vội vã.,她匆忙中沒有來得及喫早餐。,tā cōngmáng zhōng méiyǒu láidejí chī zǎocān 。
他们匆忙中没有时间休息。,Họ không có thời gian nghỉ ngơi vì vội vã.,他們匆忙中沒有時間休息。,tāmen cōngmáng zhōng méiyǒu shíjiān xiūxī 。
他匆忙中没有注意到细节。,Anh ta đã không chú ý đến chi tiết vì vội vã.,他匆忙中沒有注意到細節。,tā cōngmáng zhōng méiyǒu zhùyì dào xìjié 。
他们匆忙中把邮件发错了。,Họ đã gửi thư sai vì vội vã.,他們匆忙中把郵件發錯了。,tāmen cōngmáng zhōng bǎ yóujiàn fācuò le 。
他匆忙中没有注意周围的环境。,Anh ta đã không chú ý đến môi trường xung quanh vì vội vã.,他匆忙中沒有注意周圍的環境。,tā cōngmáng zhōng méiyǒu zhùyì zhōuwéi de huánjìng 。
他是一位木匠。,Ông ấy là một thợ carpentry.,他是一位木匠。,tā shì yīwèi mùjiàng 。
他是一位雕刻匠，擅长雕刻人物。,"Ông ấy là một thợ chạm khắc, rất giỏi chạm khắc con người.",他是一位雕刻匠，擅長雕刻人物。,tā shì yīwèi diāokè jiàng ， shàncháng diāokè rénwù 。
他是一位漆匠，负责修复古董家具。,"Ông ấy là một thợ sơn mài, có trách nhiệm bảo dưỡng các đồ gỗ cổ.",他是一位漆匠，負責修復古董傢俱。,tā shì yīwèi qījiàng ， fùzé xiūfù gǔdǒng jiājù 。
他是一位陶匠，制作精美的瓷器。,"Ông ấy là một thợ làm đất nung, làm ra những sản phẩm sứ rất tinh tế.",他是一位陶匠，製作精美的瓷器。,tā shì yīwèi táojiàng ， zhìzuò jīngměi de cíqì 。
他是一位画匠，擅长画山水画。,"Ông ấy là một họa sĩ, rất giỏi vẽ phong cảnh.",他是一位畫匠，擅長畫山水畫。,tā shì yīwèi huàjiàng ， shàncháng huà shānshuǐhuà 。
他是一位钟表匠，修理各种机械钟表。,"Ông ấy là một thợ làm đồng hồ, sửa chữa tất cả các loại đồng hồ.",他是一位鐘錶匠，修理各種機械鐘錶。,tā shì yīwèi zhōngbiǎojiàng ， xiūlǐ gèzhǒng jīxiè zhōngbiǎo 。
他是一位茶匠，专门负责泡茶。,"Ông ấy là một thợ pha trà, chuyên nghiệp trong việc pha chế trà.",他是一位茶匠，專門負責泡茶。,tā shì yīwèi chájiàng ， zhuānmén fùzé pàochá 。
他是一位乐器匠，制作各种传统乐器。,"Ông ấy là một thợ làm nhạc cụ, làm ra nhiều loại nhạc cụ truyền thống.",他是一位樂器匠，製作各種傳統樂器。,tā shì yīwèi yuèqì jiàng ， zhìzuò gèzhǒng chuántǒng yuèqì 。
他是一位织布匠，手工制作各种布艺品。,"Ông ấy là một thợ dệt, làm ra nhiều sản phẩm từ vải bằng tay.",他是一位織布匠，手工製作各種布藝品。,tā shì yīwèi zhībù jiàng ， shǒugōng zhìzuò gèzhǒng bù yìpǐn 。
他是一位金匠，专门制作珠宝首饰。,"Ông ấy là một thợ kim hoàn, chuyên làm các món trang sức.",他是一位金匠，專門製作珠寶首飾。,tā shì yīwèi jīnjiàng ， zhuānmén zhìzuò zhūbǎoshǒushì 。
